,0
0,4.4844207763671875
1,4.4350996017456055
2,4.082719326019287
3,4.701319217681885
4,4.410798072814941
5,4.469993591308594
6,4.477476119995117
7,5.304130554199219
8,4.457967758178711
9,4.652831077575684
10,4.330714225769043
11,4.58261251449585
12,4.627272129058838
13,3.9922196865081787
14,4.352724552154541
15,4.390488147735596
16,4.2179155349731445
17,4.393549919128418
18,4.297492027282715
19,4.370237350463867
20,4.644603729248047
21,4.574795246124268
22,4.779970645904541
23,4.427365303039551
24,4.469365119934082
25,3.8769259452819824
26,3.964059591293335
27,4.5610480308532715
28,4.397610187530518
29,4.6405110359191895
30,4.3862714767456055
31,4.294000625610352
32,4.2528462409973145
33,4.3361310958862305
34,4.607127666473389
35,4.257753372192383
36,4.5352911949157715
37,4.375820159912109
38,4.283364295959473
39,4.135644435882568
40,4.639463901519775
41,4.190492630004883
42,4.367969036102295
43,4.087032318115234
44,4.719362258911133
45,4.488859176635742
46,4.450316429138184
47,4.3993096351623535
48,4.348878383636475
49,4.1739912033081055
50,4.2694525718688965
51,4.710299968719482
52,4.1749267578125
53,4.172954559326172
54,4.8224287033081055
55,4.317523956298828
56,4.347805023193359
57,4.586569786071777
58,4.326409339904785
59,4.348329544067383
60,4.349247455596924
61,4.268553256988525
62,4.6137003898620605
63,4.633718013763428
64,4.2714715003967285
65,4.380003929138184
66,4.512414932250977
67,4.5391316413879395
68,4.347650527954102
69,4.847823143005371
70,4.037137508392334
71,4.3428144454956055
72,4.4681620597839355
73,4.4670915603637695
74,4.395931720733643
75,4.628900051116943
76,4.211963176727295
77,4.166786193847656
78,4.212782382965088
79,4.254911422729492
80,4.1773881912231445
81,3.8927178382873535
82,4.526138782501221
83,4.499159812927246
84,4.031147003173828
85,4.4577765464782715
86,4.469886302947998
87,4.44256591796875
88,4.172636032104492
89,4.513917922973633
90,4.523428916931152
91,4.438674449920654
92,4.588956356048584
93,4.259051322937012
94,4.214595794677734
95,4.475574493408203
96,3.9857609272003174
97,4.312044620513916
98,4.371776580810547
99,4.208601474761963
100,3.8189406394958496
101,4.737744331359863
102,4.295475006103516
103,4.641516208648682
104,4.597202777862549
105,4.14684534072876
106,4.2543792724609375
107,4.024253845214844
108,4.079431533813477
109,4.43410062789917
110,4.22957706451416
111,4.088863849639893
112,3.7947580814361572
113,4.338271141052246
114,4.341803550720215
115,4.421747207641602
