,x_initial,v_initial,x_step10,v_step10,x_step20,v_step20,x_step30,v_step30,x_step40,v_step40,x_step50,v_step50
0,9.98676753301875,-0.5285982865203542,8.643641459113065,-4.167683880090617,6.495146671419839,-3.98898677919137,4.828446752097644,-2.6687756495798656,3.774754313058899,-1.613572064154067,3.15275582127728,-0.9236054058391056
1,8.643641459113065,-4.167683880090617,6.495146671419839,-3.98898677919137,4.828446752097644,-2.6687756495798656,3.774754313058899,-1.613572064154067,3.15275582127728,-0.9236054058391056,2.8131696766408574,-0.4612942018305827
2,6.495146671419839,-3.98898677919137,4.828446752097644,-2.6687756495798656,3.774754313058899,-1.613572064154067,3.15275582127728,-0.9236054058391056,2.8131696766408574,-0.4612942018305827,2.6731225199541035,-0.1094199684103015
3,4.828446752097644,-2.6687756495798656,3.774754313058899,-1.613572064154067,3.15275582127728,-0.9236054058391056,2.8131696766408574,-0.4612942018305827,2.6731225199541035,-0.1094199684103015,2.6995201644419,0.2169827342237151
4,3.774754313058899,-1.613572064154067,3.15275582127728,-0.9236054058391056,2.8131696766408574,-0.4612942018305827,2.6731225199541035,-0.1094199684103015,2.6995201644419,0.2169827342237151,2.8985284105670064,0.5942044458349772
5,3.15275582127728,-0.9236054058391056,2.8131696766408574,-0.4612942018305827,2.6731225199541035,-0.1094199684103015,2.6995201644419,0.2169827342237151,2.8985284105670064,0.5942044458349772,3.317651100224473,1.1154583452640394
6,2.8131696766408574,-0.4612942018305827,2.6731225199541035,-0.1094199684103015,2.6995201644419,0.2169827342237151,2.8985284105670064,0.5942044458349772,3.317651100224473,1.1154583452640394,4.0597933141293385,1.910365893601484
7,2.6731225199541035,-0.1094199684103015,2.6995201644419,0.2169827342237151,2.8985284105670064,0.5942044458349772,3.317651100224473,1.1154583452640394,4.0597933141293385,1.910365893601484,5.295082246761732,3.0932825147474707
8,2.6995201644419,0.2169827342237151,2.8985284105670064,0.5942044458349772,3.317651100224473,1.1154583452640394,4.0597933141293385,1.910365893601484,5.295082246761732,3.0932825147474707,7.169749404405849,4.308075905762176
9,2.8985284105670064,0.5942044458349772,3.317651100224473,1.1154583452640394,4.0597933141293385,1.910365893601484,5.295082246761732,3.0932825147474707,7.169749404405849,4.308075905762176,9.268858256627784,3.4570789096065973
10,3.317651100224473,1.1154583452640394,4.0597933141293385,1.910365893601484,5.295082246761732,3.0932825147474707,7.169749404405849,4.308075905762176,9.268858256627784,3.4570789096065973,9.934677693763168,-1.170657216574298
11,4.0597933141293385,1.910365893601484,5.295082246761732,3.0932825147474707,7.169749404405849,4.308075905762176,9.268858256627784,3.4570789096065973,9.934677693763168,-1.170657216574298,8.380529849664715,-4.313971172203019
12,5.295082246761732,3.0932825147474707,7.169749404405849,4.308075905762176,9.268858256627784,3.4570789096065973,9.934677693763168,-1.170657216574298,8.380529849664715,-4.313971172203019,6.252356315730346,-3.836958072751776
13,7.169749404405849,4.308075905762176,9.268858256627784,3.4570789096065973,9.934677693763168,-1.170657216574298,8.380529849664715,-4.313971172203019,6.252356315730346,-3.836958072751776,4.667586343623021,-2.5156611248267504
14,9.268858256627784,3.4570789096065973,9.934677693763168,-1.170657216574298,8.380529849664715,-4.313971172203019,6.252356315730346,-3.836958072751776,4.667586343623021,-2.5156611248267504,3.677781940778538,-1.5106794405171535
15,9.934677693763168,-1.170657216574298,8.380529849664715,-4.313971172203019,6.252356315730346,-3.836958072751776,4.667586343623021,-2.5156611248267504,3.677781940778538,-1.5106794405171535,3.097466002231116,-0.8566628310482981
