,t,r,velocity,theta,tau
0,5.194845432016424,9.98676753301875,-0.5285982865203542,0.0,4.986776287927871
1,10.349559218807343,9.947293839521528,-1.0477022593966483,0.05,9.934209024417019
2,15.438518568686886,9.882283350928237,-1.5482357856818993,0.1,14.817185235818691
3,20.43773760277768,9.792875812655042,-2.021929111376915,0.15000000000000002,19.612206069922898
4,25.325392836501308,9.68059758146339,-2.4616406690375165,0.2,24.29790454663464
5,30.082234467321623,9.547298908696806,-2.8615927744435727,0.25,28.855450369234802
6,34.69187000450093,9.39508185188673,-3.217509603882743,0.3,33.26882851941737
7,39.14091728766403,9.226223769046333,-3.5266565240198484,0.35,37.524988771243144
8,43.41903346922659,9.043101150675927,-3.787789362628471,0.39999999999999997,41.613872692310956
9,47.51883415031016,8.848117924178647,-4.001029375200563,0.44999999999999996,45.52833223231953
10,51.435722041146484,8.643641459113065,-4.167683880090617,0.49999999999999994,49.263959116004436
11,55.1676471604961,8.431948459552535,-4.290033792201632,0.5499999999999999,52.818846857231954
12,58.714820932106335,8.21518189009633,-4.371108034845843,0.6,56.19330753160029
13,62.07940504503381,7.995319152796144,-4.414461776518642,0.65,59.38956394935373
14,65.2651931878634,7.774150982478244,-4.423971426144339,0.7000000000000001,62.4114351242721
15,68.27730031106701,7.553269988007076,-4.403655051200684,0.7500000000000001,65.26402949985852
16,71.12187040649789,7.334067435100229,-4.357522911033427,0.8000000000000002,67.9534567569884
17,73.80581029105215,7.117736717925934,-4.2894594718550305,0.8500000000000002,70.48656555627396
18,76.33655378902573,6.905281964863297,-4.203135749668521,0.9000000000000002,72.87071150698728
19,78.72185815560813,6.6975303274134514,-4.101949122896046,0.9500000000000003,75.11355713131843
20,80.96963261107405,6.495146671419839,-3.98898677919137,1.0000000000000002,77.22290364548124
21,83.08779743507789,6.298649593499293,-3.867008570223295,1.0500000000000003,79.20655298056568
22,85.08417113659945,6.108427897450244,-3.738445088525758,1.1000000000000003,81.07219754948309
23,86.96638268194282,5.924756867556988,-3.6054071059031716,1.1500000000000004,82.82733474646628
24,88.74180554121182,5.747813857068567,-3.4697030007830025,1.2000000000000004,84.47920295324175
25,90.41751031923681,5.577692865043057,-3.3328613581866957,1.2500000000000004,86.03473583807937
26,92.00023289772018,5.414417901561039,-3.196156484343578,1.3000000000000005,87.5005318987166
27,93.49635527261937,5.257955041068226,-3.060635096151137,1.3500000000000005,88.88283645941134
28,94.91189657919702,5.108223138966687,-2.9271429004104443,1.4000000000000006,90.18753364128507
29,96.25251212361195,4.965103240994652,-2.796350159584656,1.4500000000000006,91.42014615097185
30,97.52349856153438,4.828446752097644,-2.6687756495798656,1.5000000000000007,92.58584105286396
31,98.72980366635814,4.698082454933419,-2.544808656227682,1.5500000000000007,93.68943999053161
32,99.87603940368686,4.573822481046283,-2.424728839210445,1.6000000000000008,94.73543259493783
33,100.96649727094545,4.455467342812797,-2.3087239246523628,1.6500000000000008,95.7279920570814
34,102.00516507038657,4.3428101337427405,-2.1969052799313724,1.7000000000000008,96.67099204996832
35,102.99574446163544,4.23564000040478,-2.0893214850719595,1.7500000000000009,97.56802436061977
36,103.9416687886677,4.133744982520276,-1.985970051843608,1.800000000000001,98.42241673964536
37,104.84612079880019,4.036914309672181,-1.886807460656438,1.850000000000001,99.23725059682715
38,105.71204997117394,3.9449402343685116,-1.7917576915581275,1.900000000000001,100.01537826946412
39,106.5421892525631,3.857619472415913,-1.7007194230564562,1.950000000000001,100.75943966916225
40,107.33907106219681,3.774754313058899,-1.613572064154067,2.000000000000001,101.47187817536009
41,108.10504247738758,3.6961534533528457,-1.5301807731526498,2.0500000000000007,102.15495569289669
42,108.84227955054976,3.6216326038948474,-1.4504006031118446,2.1000000000000005,102.8107668287764
43,109.55280073776515,3.5510149063973997,-1.3740798994989307,2.1500000000000004,103.44125217204922
44,110.2384794411961,3.484131197668266,-1.301063061332864,2.2,104.04821068217748
45,110.90105568385603,3.4208201493359773,-1.2311927635263116,2.25,104.63331120688264
46,111.54214694676669,3.360928308094203,-1.1643117254733477,2.3,105.19810316149008
47,112.16325820637896,3.304310057277698,-1.1002640993833248,2.3499999999999996,105.7440264092214
48,112.76579121513942,3.250827517170493,-1.0388965414858868,2.3999999999999995,106.27242038654104
49,113.35105307091766,3.200350398524545,-0.9800590200218268,2.4499999999999993,106.78453252020785
50,113.92026412220454,3.15275582127728,-0.9236054058391057,2.499999999999999,107.28152598363774
51,114.47456525597514,3.1079281083451655,-0.8693938843557603,2.549999999999999,107.76448683996983
52,115.0150246142171,3.065758562588236,-0.817287221540621,2.5999999999999988,108.23443061817399
53,115.54264378361799,3.026145233542146,-0.767152911302587,2.6499999999999986,108.69230836689849
54,116.05836350098662,2.9889926792598995,-0.7188632271738995,2.6999999999999984,109.13901222873196
55,116.56306891481005,2.9542117275593505,-0.6722951973309832,2.7499999999999982,109.57538057529442
56,117.05759444103812,2.9217192401038625,-0.6273305187329508,2.799999999999998,110.00220274119407
57,117.54272824882902,2.8914378820252447,-0.5838554233952155,2.849999999999998,110.4202233924746
58,118.01921640964933,2.8632958992069137,-0.5417605074843196,2.8999999999999977,110.83014656279535
59,118.48776674084641,2.8372269048612195,-0.5009405319583027,2.9499999999999975,111.23263938827877
60,118.94905237263325,2.8131696766408574,-0.4612942018305827,2.9999999999999973,111.62833556975735
61,119.40371506536901,2.791067965205763,-0.42272392975715767,3.049999999999997,112.01783858907724
62,119.85236830209611,2.7708703149114364,-0.3851355884961336,3.099999999999997,112.40172470418011
