,phi,t,tau,r,rdot,u,udot
0,0.0,20.12764909254226,22.139999110620963,19.96296531057391,-1.4786444406018326,0.05009275848765432,0.0037103395061728393
1,0.05,40.03472912364076,44.03614626401358,19.85272396325167,-2.921171068317018,0.05037092148417755,0.007411682084353487
2,0.1,59.582740091824775,65.53533623729375,19.671944985665323,-4.293622729610497,0.05083381438534351,0.011095050389616074
3,0.15000000000000002,78.6453482599477,86.49793440929551,19.42490069719873,-5.566142153240327,0.05148031465325382,0.014751516824735932
4,0.2,97.11195076417553,106.80172234037025,19.117222150703412,-6.714464847591265,0.05230885492237717,0.018372228183848854
5,0.25,114.89014286279078,126.3446274576524,18.755593621932594,-7.72084953100636,0.053317427331684694,0.02194843000473829
6,0.3,131.907022010831,145.0461640691928,18.347415594784106,-8.574408230420008,0.0545035890659328,0.025471490535551
7,0.35,148.1093824708763,162.84764541035068,17.90046547274238,-9.27088039301751,0.05586446908449015,0.028932924224254128
8,0.39999999999999997,163.46294857625213,179.71133103971727,17.422581362375627,-9.81195780024087,0.05739677601159135,0.03232441464224111
9,0.44999999999999996,177.95085486997402,195.61874047621785,16.921387941212462,-10.204301893086093,0.059096807157554436,0.03563783675714056
10,0.49999999999999994,191.57160588149972,210.5683911048833,16.40407605797954,-10.458402025910061,0.060960458636349926,0.03886527847404618
11,0.5499999999999999,204.33674224739158,224.57321159960517,15.877240594794614,-10.587407677560563,0.06298323654098005,0.04199906136902696
12,0.6,216.26841180325286,237.6578509284548,15.346775163508878,-10.606038211069484,0.06516026913444144,0.04503176054385137
13,0.65,227.3970036974393,249.85605798558666,14.817817890241928,-10.529638998734324,0.06748632001062291,0.047956223536319724
14,0.7000000000000001,237.75895898607507,261.208257440886,14.294739948505104,-10.373419494209152,0.06995580217635065,0.050765588226394015
15,0.7500000000000001,247.3948289079857,271.7594005464429,13.781167436034762,-10.151881459816282,0.07256279300295104,0.05345329968439165
16,0.8000000000000002,256.34761602300966,281.5571297253303,13.280027304940775,-9.87842588699631,0.0753010499931694,0.05601312591381341
17,0.8500000000000002,264.66140538408234,290.65026473571237,12.793608958651076,-9.565115129339441,0.07816402730707171,0.0584391724478503
18,0.9000000000000002,272.3802730451096,299.08759620566536,12.323634466307176,-9.222561204854903,0.08114489298867153,0.06072589576520235
19,0.9500000000000003,279.5474466109584,306.9169584006655,11.871331833876216,-8.859910441444805,0.08423654683347193,0.06286811549748769
20,1.0000000000000002,286.20468584278683,314.18454569466127,11.437507214945201,-8.484896954243933,0.0874316388358922,0.06486102540716707
21,1.0500000000000003,292.3918490500869,320.9344347117721,11.022613225002253,-8.10394143279993,0.09072258815466108,0.0667002031215018
22,1.1000000000000003,298.14661175204685,327.2082749600708,10.626811585295805,-7.722276319940072,0.09410160253369772,0.06838161861455068
23,1.1500000000000004,303.5043067276649,333.045113719177,10.250029154295655,-7.3440829810099535,0.09756069811576223,0.06990164143554128
24,1.2000000000000004,308.4978582150424,338.48132499255166,9.892007021870965,-6.972630489236066,0.10109171958623023,0.07125704668807768
25,1.2500000000000004,313.15778703578883,343.55061679586373,9.552342773352363,-6.610409008443034,0.10468636058471899,0.07244501977052485
26,1.3000000000000005,317.5122673935042,348.28409546295546,9.230526312602729,-6.259253403114493,0.10833618432295333,0.07346315989349907
27,1.3500000000000005,321.5872197746743,352.71036973295435,8.925969799410009,-5.920454699007022,0.11203264434819153,0.074309482395658
28,1.4000000000000006,325.40642763564256,356.85568099203965,8.63803233749074,-5.594858448806784,0.11576710539271838,0.07498241988389062
29,1.4500000000000006,328.99166834284205,360.74404912886564,8.366040070598983,-5.28295003370707,0.11953086425133547,0.0754808222285285
30,1.5000000000000007,332.36285115002426,364.39742602949167,8.10930232580267,-4.9849275565971185,0.12331517063041779,0.07580395544831284
31,1.5500000000000007,335.53815688121284,367.83585082547904,7.8671244001714475,-4.700763346574806,0.12711124791394007,0.07595149952353761
32,1.6000000000000008,338.53417549212077,371.0776026739353,7.638817531019633,-4.430255272658783,0.13091031379388368,0.07592354517903438
33,1.6500000000000008,341.36603886149675,374.1393481526671,7.423706528222438,-4.1730691158740685,0.13470360071459397,0.0757205896814596
34,1.7000000000000008,344.04754707193246,377.03628135793633,7.221135485146805,-3.928773217991094,0.13848237608294509,0.07534353169768622
35,1.7500000000000009,346.59128712717074,379.7822555522411,7.030471925659442,-3.6968665447733944,0.14223796219856213,0.07479366526298802
36,1.800000000000001,349.0087435638815,382.389905773871,6.851109690359525,-3.4768011947083353,0.14596175586082655,0.0740726729091411
37,1.850000000000001,351.3104007876067,384.8707622301963,6.682470816535956,-3.268000266568578,0.14964524761192713,0.07318261800356152
38,1.900000000000001,353.5058372261429,387.235354587151,6.524006623631266,-3.069871881014868,0.15328004057779443,0.07212593635116218
39,1.950000000000001,355.6038115742976,389.4933074661677,6.375198179060897,-2.8818200390878568,0.15685786887134945,0.0709054271107628
40,2.000000000000001,357.61234152195345,391.6534275893395,6.235556287701369,-2.7032528973653793,0.1603706155250878,0.06952424307764102
41,2.0500000000000007,359.5387754287037,393.7237830915422,6.104621121711697,-2.533588947421965,0.16381032992258926,0.0679858803831951
42,2.1000000000000005,361.38985744546574,395.711775558473,5.981961585028282,-2.372261506433026,0.1671692447010711,0.06629416766172015
43,2.1500000000000004,363.17178659607447,397.6242053627125,5.867174488313,-2.218721855969701,0.17043979209957533,0.06445325473301074
44,2.2,364.89027032726045,399.46733086414093,5.759883594805765,-2.072441306445374,0.17361461972977982,0.062467600847918726
