,phi,t,tau,r,rdot,u,udot
0,0.0,1.9913212255875072,2.1413014437554656,6.208335202580349,0.057559372420060144,0.16107377700617284,-0.001493364197530865
1,0.05,3.98536748286661,4.285582772187533,6.212653532249904,0.11514877357243081,0.16096181684830754,-0.002983355776377985
2,0.1,5.9839615234898025,6.434837278816996,6.219853786008987,0.17279776597023003,0.16077548354101376,-0.004466607308545263
3,0.15000000000000002,7.988934669516503,8.591067738467924,6.229939668545492,0.23053506299624257,0.16051519809235498,-0.005939765595308702
4,0.2,10.002130216221039,10.756290172459789,6.242916290633214,0.2883880928762192,0.1601815487259354,-0.007399498759953134
5,0.25,12.025406808775044,12.932537585610264,6.258790093676937,0.34638254914009187,0.15977528963789173,-0.008842503309110999
6,0.3,14.060641783470594,15.121863664932796,6.277568751340407,0.40454192309159187,0.1592973394017352,-0.010265511152098812
7,0.35,16.10973446272552,17.32634642834104,6.29926104724581,0.4628870138372777,0.15874877902341009,-0.011665296567537647
8,0.39999999999999997,18.174609391340237,19.548091809717004,6.323876727511959,0.5214354114760771,0.1581308496494738,-0.01303868310641087
9,0.44999999999999996,20.25721949933885,21.789237164341813,6.35142632668022,0.5802009491284368,0.15744494993184982,-0.014382550420558114
10,0.49999999999999994,22.35954917420647,24.051954675905662,6.38192096536374,0.6391931196004009,0.15669263305315856,-0.015693841005431634
11,0.5499999999999999,24.48361722240869,26.338454643083082,6.415372117749179,0.6984164526449373,0.15587560341719478,-0.016969566845753247
12,0.6,26.631479696725542,28.650988619956582,6.451791346883669,0.7578698490155322,0.1549957130096927,-0.018206815952510464
13,0.65,28.805232562129554,30.991852380371206,6.491190005496932,0.8175458678229489,0.15405495743510364,-0.019402758779523264
14,0.7000000000000001,31.00701416866457,33.36338867158188,6.533578899943902,0.8774299641253759,0.1530554716357043,-0.0205546545076025
15,0.7500000000000001,33.239007495021376,35.76798971729413,6.5789679147128,0.9374996742280768,0.15199952529995797,-0.021659857184111772
16,0.8000000000000002,35.503442121244895,38.208099424382446,6.627365594834023,0.9977237468672299,0.15088951796766603,-0.022715821705541542
17,0.8500000000000002,37.80259588323971,40.68621524119219,6.678778683455178,1.0580612193330112,0.1497279738400709,-0.02372010963051248
18,0.9000000000000002,40.13879615547033,43.20488960839427,6.733211611826662,1.1184604386810137,0.14851753630370584,-0.024670394810449414
19,0.9500000000000003,42.51442070149695,45.76673093588603,6.790665938982102,1.178858029523297,0.1472609621774292,-0.025564468825013505
20,1.0000000000000002,44.931898024781546,48.3744040312537,6.851139738511974,1.2391778115171361,0.1459611156927291,-0.02640024620925333
21,1.0500000000000003,47.39370714459875,51.0306298968939,6.914626930031992,1.2993296716183835,0.1446209622180402,-0.027175769459341085
22,1.1000000000000003,49.90237671397548,53.738184804125275,6.981116553257422,1.3592083984747556,0.14324356173847222,-0.027889213803703315
23,1.1500000000000004,52.46048338847817,56.499898543633996,7.050591983029297,1.4186924890378028,0.1418320621030106,-0.028538891726341477
24,1.2000000000000004,55.07064934652354,59.318651742561215,7.123030084219067,1.4776429406023437,0.14038969205190924,-0.029123257229171726
25,1.2500000000000004,57.73553885390958,62.19737212967824,7.198400306186539,1.5359020450630974,0.138919754037653,-0.029640909820299807
26,1.3000000000000005,60.45785375770421,65.13902962168928,7.2766637174050075,1.5932922062238786,0.13742561685351848,-0.030090598215291
27,1.3500000000000005,63.240327787806045,68.14663009610074,7.357771982020528,1.6496148055034376,0.1359107080844042,-0.030471223738700447
28,1.4000000000000006,66.08571953878952,71.22320770972537,7.441666281501981,1.7046491463317848,0.1343785063952325,-0.030781843413400095
29,1.4500000000000006,68.9968040005218,74.3718156172529,7.528276186186028,1.7581515128727565,0.13283253367284065,-0.03102167272557809
30,1.5000000000000007,71.97636250402736,77.59551494200889,7.61751848344379,1.8098543843601458,0.13127634703787575,-0.031190088053697947
31,1.5500000000000007,75.02717094978942,80.89736185171722,7.709295971406862,1.8594658521721468,0.12971353074378217,-0.031286628750190386
32,1.6000000000000008,78.15198618980685,84.28039259654226,7.803496229694131,1.9066692926195181,0.128147687980519,-0.03131099886521249
33,1.6500000000000008,81.35353044302684,87.74760637575272,7.899990381373154,1.951123354057579,0.1265824326011626,-0.03126306850244782
34,1.7000000000000008,84.6344736370611,91.3019459139215,7.998631863452529,1.9924623220587343,0.12502138079003428,-0.031142874797638113
35,1.7500000000000009,87.99741358821149,94.94627564858827,8.099255226500889,2.030296930640911,0.12346814269143964,-0.03095062251133227
36,1.800000000000001,91.44485395762406,98.68335745970421,8.201674987469756,2.0642156905086533,0.12192631401851042,-0.03068668422821022
37,1.850000000000001,94.97917995466386,102.51582390784009,8.305684563384634,2.0937868064317375,0.1203994676619999,-0.030351600156287538
38,1.900000000000001,98.6026318000601,106.44614899385633,8.411055317158024,2.118560754706775,0.11889114531919233,-0.02994607752032797
39,1.950000000000001,102.31727601155787,110.47661650811021,8.517535750237261,2.138073587524245,0.1174048491633445,-0.029470989544883627
40,2.000000000000001,106.1249746340258,114.609286102647,8.62485087996669,2.151851023383943,0.1159440335742781,-0.028927374023542087
41,2.0500000000000007,110.02735260417701,118.8459572951579,8.732701842224792,2.159413370872264,0.11451209695088302,-0.028316431472182227
42,2.1000000000000005,114.02576351680288,123.18813169828427,8.840765761871234,2.1602813166076165,0.11311237362637015,-0.027639522865321058
43,2.1500000000000004,118.12125414371049,127.63697386102001,8.948695934561835,2.153982586572179,0.11174812590712573,-0.026898166955966644
44,2.2,122.31452814679136,132.1932712087462,9.05612236330052,2.140059463167895,0.11042253625596421,-0.02609403718077108
