,t,r,theta
0,0.5208198190602532,9.9998675017556,0.0
1,1.0415990986518837,9.999470029545854,0.005
2,1.562310824075151,9.998807655302986,0.01
3,2.0829279981164914,9.997880498878216,0.015
4,2.603423648028637,9.996688727987854,0.02
5,3.1237708324963935,9.995232558137955,0.025
6,3.6439426485840034,9.993512252527502,0.030000000000000002
7,4.16391223866004,9.991528121930271,0.035
8,4.683652797295805,9.98928052455544,0.04
9,5.203137578133225,9.98676986588707,0.045
10,5.722339900718273,9.983996598502593,0.049999999999999996
11,6.241233157295989,9.980961221870452,0.05499999999999999
12,6.759790819563186,9.97766428212707,0.05999999999999999
13,7.277986445375009,9.974106371833322,0.06499999999999999
14,7.795793685401523,9.970288129710728,0.06999999999999999
15,8.313186289730583,9.966210240357569,0.075
16,8.830138114413291,9.961873433945179,0.08
17,9.346623127948387,9.957278485894642,0.085
18,9.862615417701997,9.952426216534176,0.09000000000000001
19,10.378089196259234,9.94731749073748,0.09500000000000001
20,10.893018807704186,9.941953217543338,0.10000000000000002
21,11.407378733824933,9.936334349756798,0.10500000000000002
22,11.921143600240287,9.930461883532233,0.11000000000000003
23,12.43428818244503,9.924336857938641,0.11500000000000003
24,12.946787411770512,9.917960354507533,0.12000000000000004
25,13.458616381257553,9.911333496763747,0.12500000000000003
26,13.969750351438673,9.904457449739596,0.13000000000000003
27,14.480164756026769,9.897333419472716,0.13500000000000004
28,14.989835207507442,9.88996265248804,0.14000000000000004
29,15.498737502632288,9.882346435264251,0.14500000000000005
30,16.00684762781053,9.87448609368521,0.15000000000000005
31,16.514141764396506,9.866382992476717,0.15500000000000005
32,17.020596293870575,9.858038534629086,0.16000000000000006
33,17.526187802911174,9.849454160805974,0.16500000000000006
34,18.03089308835578,9.840631348739912,0.17000000000000007
35,18.534689162048707,9.831571612614983,0.17500000000000007
36,19.03755325557373,9.822276502437177,0.18000000000000008
37,19.539462824869627,9.81274760339281,0.18500000000000008
38,20.040395554726892,9.80298653519557,0.19000000000000009
39,20.540329363163917,9.792994951422642,0.1950000000000001
40,21.03924240568107,9.782774538840373,0.2000000000000001
41,21.537113079391236,9.772327016720052,0.2050000000000001
42,22.033920027025445,9.761654136144223,0.2100000000000001
43,22.52964214081235,9.750757679304085,0.2150000000000001
44,23.02425856623044,9.73963945878845,0.2200000000000001
45,23.517748705631952,9.728301316864812,0.22500000000000012
46,24.01009222173757,9.716745124752979,0.23000000000000012
47,24.501269041001095,9.704972781891817,0.23500000000000013
48,24.991259356843425,9.692986215199602,0.24000000000000013
49,25.48004363275522,9.680787378328493,0.24500000000000013
50,25.96760260526778,9.668378250913623,0.2500000000000001
51,26.45391728679177,9.655760837817338,0.2550000000000001
52,26.938968968323536,9.642937168369055,0.2600000000000001
53,27.42273922201878,9.629909295601284,0.2650000000000001
54,27.90520990363363,9.616679295482282,0.27000000000000013
55,28.386363154833045,9.603249266145838,0.27500000000000013
56,28.86618140536678,9.589621327118707,0.28000000000000014
57,29.344647375113077,9.575797618546165,0.28500000000000014
58,29.82174407599045,9.561780300416148,0.29000000000000015
59,30.297454813738,9.547571551782504,0.29500000000000015
60,30.771763189564776,9.53317356998779,0.30000000000000016
61,31.244653101668767,9.518588569886095,0.30500000000000016
62,31.71610874662628,9.503818783066363,0.31000000000000016
63,32.18611462065246,9.488866457076648,0.31500000000000017
64,32.65465552073384,9.473733854649765,0.3200000000000002
65,33.12171654563387,9.458423252930782,0.3250000000000002
66,33.58728309677251,9.442936942706766,0.3300000000000002
67,34.0513408789809,9.427277227639223,0.3350000000000002
68,34.51387590113248,9.411446423499655,0.3400000000000002
69,34.97487447665163,9.395446857408619,0.3450000000000002
70,35.43432322390132,9.379280867078709,0.3500000000000002
71,35.89220906645113,9.362950800061844,0.3550000000000002
72,36.34851923322706,9.346459013001235,0.3600000000000002
73,36.8032412585448,9.329807870888416,0.3650000000000002
74,37.256362982027944,9.312999746325696,0.3700000000000002
75,37.707872548412844,9.296037018794374,0.3750000000000002
76,38.15775840724186,9.278922073929069,0.3800000000000002
77,38.606009312446695,9.261657302798493,0.38500000000000023
78,39.05261432182375,9.244245101192993,0.39000000000000024
79,39.49756279640324,9.226687868919168,0.39500000000000024
80,39.940844399714074,9.208988009101843,0.40000000000000024
81,40.38244909694643,9.19114792749373,0.40500000000000025
82,40.822367154013996,9.17317003179302,0.41000000000000025
83,41.260589136517964,9.15505673096918,0.41500000000000026
84,41.69710590861477,9.136810434597217,0.42000000000000026
85,42.1319086317898,9.118433552200665,0.42500000000000027
86,42.564988763539006,9.099928492603494,0.43000000000000027
87,42.99633805596082,9.081297663291211,0.4350000000000003
88,43.42594855426033,9.062543469781323,0.4400000000000003
89,43.85381259516809,9.043668315003405,0.4450000000000003
90,44.279922805275646,9.024674598688916,0.4500000000000003
91,44.70427209929018,9.00556471677099,0.4550000000000003
92,45.126853678210324,8.98634106079434,0.4600000000000003
93,45.547661027425605,8.967006017335438,0.4650000000000003
94,45.96668791474166,8.947561967433138,0.4700000000000003
95,46.3839283883336,8.928011286029863,0.4750000000000003
96,46.799376774629735,8.908356341423465,0.4800000000000003
97,47.213027676127986,8.88859949472992,0.4850000000000003
98,47.624875969147304,8.86874309935692,0.4900000000000003
99,48.03491680151634,8.848789500488488,0.49500000000000033
100,48.443145590201674,8.828741034580682,0.5000000000000003
101,48.84955801887791,8.808600028868481,0.5050000000000003
102,49.25415003544186,8.788368800883898,0.5100000000000003
103,49.656917849473174,8.768049657985406,0.5150000000000003
104,50.05785792964354,8.747644896898693,0.5200000000000004
