time,position,velocity
0.179,49.626865005979006,222.7486180902494
0.18,49.84962134963973,222.7638018024161
0.181,50.07239287181582,222.77898330575817
0.182,50.295179570264004,222.79416259553454
0.183,50.51798144273734,222.80933966701073
0.184,50.740798486985234,222.82451451545884
0.185,50.96363070075341,222.8396871361576
0.186,51.18647808178393,222.8548575243923
0.187,51.40934062781518,222.87002567545474
0.188,51.63221833658187,222.8851915846434
0.189,51.85511120581506,222.90035524726326
0.19,52.0780192332421,222.91551665862596
0.191,52.300942416586736,222.9306758140497
0.192,52.523880753568974,222.94583270885917
0.193,52.74683424190519,222.96098733838582
0.194,52.96980287930808,222.97613969796748
0.195,53.19278666348665,222.99128978294874
0.196,53.415785592146285,223.00643758868065
0.197,53.638799662988646,223.02158311052088
0.198,53.86182887371176,223.03672634383372
0.199,54.084873222009975,223.05186728398996
0.2,54.30793270557395,223.06700592636707
0.201,54.5310073220907,223.08214226634902
0.202,54.75409706924356,223.09727629932638
0.203,54.97720194471219,223.11240802069636
0.20400000000000001,55.20032194617258,223.12753742586267
0.20500000000000002,55.42345707129705,223.14266451023562
0.20600000000000002,55.64660731775427,223.15778926923215
0.20700000000000002,55.8697726832092,223.17291169827578
0.20800000000000002,56.09295316532317,223.18803179279652
0.209,56.31614876175381,223.20314954823104
0.21,56.53935947015511,223.2182649600226
0.211,56.76258528817735,223.23337802362101
0.212,56.98582621346717,223.24848873448266
0.213,57.20908224366753,223.26359708807053
0.214,57.43235337641772,223.27870307985418
0.215,57.655639609353365,223.29380670530975
0.216,57.87894094010642,223.30890795992
0.217,58.102257366305146,223.3240068391742
0.218,58.32558888557417,223.33910333856824
0.219,58.54893549553444,223.3541974536046
0.22,58.7722971938032,223.36928917979233
0.221,58.995673977994066,223.3843785126471
0.222,59.21906584571696,223.39946544769106
0.223,59.44247279457816,223.41454998045305
0.224,59.66589482218022,223.42963210646843
0.225,59.88933192612208,223.44471182127918
0.226,60.112784103999,223.45978912043384
0.227,60.33625135340255,223.47486399948752
0.228,60.55973367192061,223.48993645400193
0.229,60.78323105713744,223.50500647954536
0.23,61.00674350663363,223.52007407169265
0.231,61.23027101798603,223.5351392260253
0.232,61.45381358876791,223.55020193813132
0.233,61.677371216548785,223.56526220360533
0.234,61.90094389889459,223.5803200180485
0.23500000000000001,62.12453163336749,223.59537537706865
0.23600000000000002,62.34813441752608,223.6104282762801
0.23700000000000002,62.5717522489252,223.6254787113038
0.23800000000000002,62.79538512511606,223.64052667776727
0.23900000000000002,63.01903304364621,223.65557217130464
0.24,63.24269600205952,223.67061518755656
0.241,63.46637399789615,223.6856557221703
0.242,63.69006702869267,223.70069377079977
0.243,63.91377509198191,223.7157293291053
0.244,64.13749818529304,223.730762392754
0.245,64.36123630615161,223.74579295741938
0.246,64.58498945207944,223.76082101878168
0.247,64.80875762059469,223.77584657252763
0.248,65.0325408092119,223.79086961435056
0.249,65.25633901544188,223.80589013995038
0.25,65.48015223679181,223.82090814503366
0.251,65.70398047076515,223.8359236253134
0.252,65.92782371486174,223.8509365765093
0.253,66.15168196657777,223.8659469943476
0.254,66.37555522340566,223.88095487456116
0.255,66.59944348283425,223.89596021288935
0.256,66.82334674234869,223.9109630050782
0.257,67.04726499943042,223.92596324688026
0.258,67.27119825155728,223.94096093405466
0.259,67.49514649620338,223.9559560623672
0.26,67.71910973083918,223.97094862759013
0.261,67.94308795293149,223.9859386255024
0.262,68.1670811599434,224.00092605188948
0.263,68.39108934933438,224.01591090254342
0.264,68.61511251856021,224.03089317326288
0.265,68.83915066507299,224.04587285985306
0.266,69.06320378632117,224.06084995812583
0.267,69.28727187974948,224.0758244638995
0.268,69.51135494279907,224.0907963729991
0.269,69.73545297290738,224.10576568125617
0.27,69.9595659675081,224.12073238450884
0.271,70.18369392403139,224.13569647860183
0.272,70.40783683990361,224.15065795938642
0.273,70.63199471254754,224.16561682272052
0.274,70.85616753938224,224.18057306446858
0.275,71.08035531782315,224.19552668050164
0.276,71.30455804528196,224.21047766669733
0.277,71.52877571916677,224.22542601893986
0.278,71.75300833688199,224.24037173312
0.279,71.97725589582829,224.25531480513513
0.28,72.20151839340278,224.27025523088923
0.281,72.42579582699882,224.2851930062928
0.28200000000000003,72.65008819400614,224.30012812726295
0.28300000000000003,72.87439549181077,224.31506058972337
0.28400000000000003,73.0987177177951,224.3299903896044
0.28500000000000003,73.32305486933782,224.34491752284285
0.28600000000000003,73.547406943814,224.35984198538216
0.28700000000000003,73.77177393859495,224.37476377317236
0.28800000000000003,73.9961558510484,224.38968288217006
0.289,74.22055267853835,224.40459930833848
0.29,74.44496441842519,224.4195130476473
0.291,74.66939106806558,224.43442409607297
0.292,74.89383262481255,224.44933244959836
0.293,75.11828908601541,224.464238104213
0.294,75.34276044901986,224.47914105591298
0.295,75.56724671116791,224.49404130070099
0.296,75.79174786979786,224.50893883458627
0.297,76.0162639222444,224.5238336535847
0.298,76.24079486583852,224.53872575371864
0.299,76.46534069790755,224.55361513101715
0.3,76.6899014157751,224.56850178151578
0.301,76.9144770167612,224.5833857012567
0.302,77.13906749818213,224.59826688628868
0.303,77.36367285735054,224.61314533266702
0.304,77.5882930915754,224.62802103645367
0.305,77.81292819816204,224.64289399371708
0.306,78.03757817441203,224.65776420053237
0.307,78.26224301762338,224.67263165298115
0.308,78.48692272509035,224.6874963471517
0.309,78.7116172941036,224.7023582791388
0.31,78.93632672195004,224.71721744504387
0.311,79.16105100591295,224.73207384097492
0.312,79.38579014327196,224.7469274630465
0.313,79.610544131303,224.7617783073797
0.314,79.83531296727834,224.77662637010235
0.315,80.06009664846658,224.79147164734866
0.316,80.28489517213265,224.8063141352596
0.317,80.50970853553778,224.8211538299826
0.318,80.7345367359396,224.83599072767174
0.319,80.95937977059202,224.85082482448763
0.32,81.18423763674525,224.8656561165975
0.321,81.4091103316459,224.88048460017515
0.322,81.63399785253688,224.89531027140097
0.323,81.8589001966574,224.91013312646191
0.324,82.08381736124306,224.9249531615515
0.325,82.30874934352573,224.93977037286993
0.326,82.53369614073364,224.95458475662386
0.327,82.75865775009137,224.96939630902656
0.328,82.98363416881978,224.98420502629796
0.329,83.20862539413608,224.99901090466446
0.33,83.43363142325381,225.0138139403591
0.331,83.65865225338288,225.02861412962156
0.332,83.88368788172949,225.04341146869797
0.333,84.10873830549615,225.0582059538411
0.334,84.33380352188173,225.07299758131037
0.335,84.55888352808142,225.0877863473717
0.336,84.78397832128678,225.1025722482976
0.337,85.0090878986856,225.11735528036718
0.338,85.23421225746212,225.13213543986615
0.339,85.45935139479681,225.14691272308676
0.34,85.68450530786657,225.16168712632785
0.341,85.9096739938445,225.17645864589488
0.342,86.13485744990017,225.19122727809986
0.343,86.36005567319935,225.20599301926137
0.34400000000000003,86.58526866090426,225.22075586570463
0.34500000000000003,86.81049641017336,225.23551581376134
0.34600000000000003,87.03573891816148,225.25027285976986
0.34700000000000003,87.26099618201974,225.26502700007515
0.34800000000000003,87.48626819889569,225.27977823102867
0.34900000000000003,87.71155496593306,225.29452654898853
0.35000000000000003,87.93685648027207,225.3092719503194
0.35100000000000003,88.16217273904911,225.32401443139253
0.352,88.38750373939703,225.33875398858572
0.353,88.61284947844496,225.35349061828342
0.354,88.83820995331834,225.36822431687662
0.355,89.06358516113897,225.38295508076288
0.356,89.28897509902501,225.39768290634638
0.357,89.51437976409082,225.4124077900378
0.358,89.73979915344722,225.42712972825456
0.359,89.96523326420134,225.4418487174205
0.36,90.19068209345664,225.4565647539661
0.361,90.41614563831283,225.47127783432845
0.362,90.64162389586602,225.48598795495118
0.363,90.86711686320862,225.50069511228455
