,x_initial,v_initial,x_step10,v_step10,x_step20,v_step20,x_step30,v_step30,x_step40,v_step40,x_step50,v_step50
0,0.0,100.0,1.00092641032362,100.18531977084308,2.003707152798287,100.37086669831017,3.0083445081417555,100.55664262918914,4.014840775303567,100.74264942064124,5.023198272134984,100.92888893929695
1,0.1000092607158815,100.0185218074483,1.1011210021252542,100.20386421116446,2.1040873029689147,100.38943395567571,3.1089104457297445,100.57523288888332,4.115592731243254,100.76126286890128,5.124136479251347,100.94752576330636
2,0.200037044366574,100.03704586992258,1.2013341395065409,100.22241092488493,2.204486021543117,100.40800350492044,3.2094949747296626,100.5938254590378,4.216363301792288,100.77987864629736,5.225093324363543,100.9661649352222
3,0.3000833532080186,100.05557218925598,1.3015658247454898,100.24095991384247,2.3049033108132218,100.42657534789817,3.310098097452744,100.61242034151589,4.317152489280811,100.79849675470231,5.326068809820617,100.98480645692676
4,0.4001481894979878,100.07410076728269,1.4018160601174556,100.25951117988242,2.405339173073446,100.44514948646368,3.4107198162121124,100.63101753818184,4.417960296040853,100.81711719598984,5.427062937973508,101.0034503303032
5,0.5002315554960916,100.09263160583788,1.5020848478996407,100.27806472485102,2.5057936106199,100.4637259224728,3.511360133322784,100.64961705090091,4.518786724406337,100.8357399720346,5.528075711175042,101.02209655723568
6,0.6003334534637776,100.11116470675776,1.6023721903711383,100.29662055059552,2.6062666257505813,100.48230465778214,3.6120190511016648,100.66821888153925,4.619631776713074,100.85436508471224,5.629107131779939,101.04074513960929
7,0.7004538856643316,100.1297000718795,1.702678089812932,100.31517865896409,2.7067582207653818,100.5008856942494,3.71269657186755,100.6868230319639,4.720495455298769,100.8729925358993,5.7301572021448095,101.05939607931
8,0.8005928543628762,100.14823770304132,1.8030025485078969,100.33373905180584,2.807268397966081,100.51946903373312,3.813392697941128,100.70542950404295,4.821377762503015,100.89162232747331,5.831225924628152,101.07804937822486
9,0.9007503618263728,100.16677760208243,1.903345568740796,100.35230173097086,2.907797159656352,100.53805467809288,3.914107431644978,100.72403829964544,4.922278700667293,100.91025446131272,5.932313301590359,101.09670503824177
10,1.00092641032362,100.18531977084308,2.003707152798287,100.37086669831017,3.0083445081417555,100.55664262918914,4.014840775303567,100.74264942064124,5.023198272134984,100.92888893929695,6.033419335393708,101.11536306124954
11,1.1011210021252542,100.20386421116446,2.1040873029689147,100.38943395567571,3.1089104457297445,100.57523288888332,4.115592731243254,100.76126286890128,5.124136479251347,100.94752576330636,6.134544028402376,101.13402344913806
12,1.2013341395065409,100.22241092488493,2.204486021543117,100.40800350492044,3.2094949747296626,100.5938254590378,4.216363301792288,100.77987864629736,5.225093324363543,100.9661649352222,6.235687382982423,101.15268620379804
13,1.3015658247454898,100.24095991384247,2.3049033108132218,100.42657534789817,3.310098097452744,100.61242034151589,4.317152489280811,100.79849675470231,5.326068809820617,100.98480645692676,6.336849401501802,101.17135132712124
14,1.4018160601174556,100.25951117988242,2.405339173073446,100.44514948646368,3.4107198162121124,100.63101753818184,4.417960296040853,100.81711719598984,5.427062937973508,101.0034503303032,6.438030086330358,101.19001882100028
15,1.5020848478996407,100.27806472485102,2.5057936106199,100.4637259224728,3.511360133322784,100.64961705090091,4.518786724406337,100.8357399720346,5.528075711175042,101.02209655723568,6.539229439839827,101.20868868732872
16,1.6023721903711383,100.29662055059552,2.6062666257505813,100.48230465778214,3.6120190511016648,100.66821888153925,4.619631776713074,100.85436508471224,5.629107131779939,101.04074513960929,6.64044746440383,101.22736092800118
17,1.702678089812932,100.31517865896409,2.7067582207653818,100.5008856942494,3.71269657186755,100.6868230319639,4.720495455298769,100.8729925358993,5.7301572021448095,101.05939607931,6.741684162397888,101.2460355449131
18,1.8030025485078969,100.33373905180584,2.807268397966081,100.51946903373312,3.813392697941128,100.70542950404295,4.821377762503015,100.89162232747331,5.831225924628152,101.07804937822486,6.842939536199404,101.26471253996094
19,1.903345568740796,100.35230173097086,2.907797159656352,100.53805467809288,3.914107431644978,100.72403829964544,4.922278700667293,100.91025446131272,5.932313301590359,101.09670503824177,6.944213588187676,101.28339191504207
20,2.003707152798287,100.37086669831017,3.0083445081417555,100.55664262918914,4.014840775303567,100.74264942064124,5.023198272134984,100.92888893929695,6.033419335393708,101.11536306124954,7.045506320743891,101.30207367205486
21,2.1040873029689147,100.38943395567571,3.1089104457297445,100.57523288888332,4.115592731243254,100.76126286890128,5.124136479251347,100.94752576330636,6.134544028402376,101.13402344913806,7.14681773625113,101.32075781289852
22,2.204486021543117,100.40800350492044,3.2094949747296626,100.5938254590378,4.216363301792288,100.77987864629736,5.225093324363543,100.9661649352222,6.235687382982423,101.15268620379804,7.24814783709436,101.33944433947332
23,2.3049033108132218,100.42657534789817,3.310098097452744,100.61242034151589,4.317152489280811,100.79849675470231,5.326068809820617,100.98480645692676,6.336849401501802,101.17135132712124,7.349496625660442,101.35813325368044
24,2.405339173073446,100.44514948646368,3.4107198162121124,100.63101753818184,4.417960296040853,100.81711719598984,5.427062937973508,101.0034503303032,6.438030086330358,101.19001882100028,7.450864104338126,101.37682455742195
25,2.5057936106199,100.4637259224728,3.511360133322784,100.64961705090091,4.518786724406337,100.8357399720346,5.528075711175042,101.02209655723568,6.539229439839827,101.20868868732872,7.552250275518053,101.39551825260097
26,2.6062666257505813,100.48230465778214,3.6120190511016648,100.66821888153925,4.619631776713074,100.85436508471224,5.629107131779939,101.04074513960929,6.64044746440383,101.22736092800118,7.653655141592756,101.41421434112144
