time,position,velocity
0.0,0.0,50.0
0.01,0.5007079969096199,50.14163679785492
0.02,1.0028334827141152,50.28349762261957
0.03,1.5063786924919966,50.425581535750375
0.04,2.0113458519298515,50.56788759403392
0.05,2.517737178608634,50.710414843417716
0.06,3.02555488029068,50.853162325649336
0.07,3.5348011548680143,50.996129078488075
0.08,4.045478190362346,51.139314135704964
0.09,4.557588164925068,51.282716527082755
0.1,5.071133246837269,51.426335278415934
0.11,5.586115594509719,51.57016941151072
0.12,6.10253735648287,51.71421794418504
0.13,6.62040067142687,51.85847989026857
0.14,7.139707668141545,52.002954259602696
0.15,7.660460465556415,52.147640058040544
0.16,8.182661172730684,52.29253628744697
0.17,8.706311888853236,52.437641945698545
0.18,9.231414703242654,52.58295602668358
0.19,9.757971695347203,52.72847752030211
0.2,10.28598493474483,52.87420541246589
0.21,10.815456481143173,53.020138685098416
0.22,11.346388384379553,53.166276316134905
0.23,11.878782714941767,53.31261745763316
0.24,12.41264156402175,53.45916143219076
0.25,12.947966941698281,53.60590714429583
0.26,13.48476084542094,53.752853486130135
0.27,14.023025262584788,53.899999352687004
0.28,14.562762170530366,54.047343641771285
0.29,15.103973536543691,54.19488525399933
0.3,15.646661317856275,54.34262309279906
0.31,16.1908274616451,54.49055606440991
0.32,16.736473905032625,54.63868307788283
0.33,17.283602575086807,54.787003045080326
0.34,17.832215388821066,54.93551488067642
0.35000000000000003,18.382314253194306,55.08421750215666
0.36,18.933901065110923,55.23310982981815
0.37,19.486977711420785,55.38219078676948
0.38,20.041546068919246,55.531459298930805
0.39,20.597608004347133,55.68091429503381
0.4,21.155165374390762,55.83055470662169
0.41000000000000003,21.714220025681925,55.98037946804918
0.42,22.274773794797895,56.13038751648255
0.43,22.83682850826143,56.28057779189959
0.44,23.40038598254077,56.430949237089635
0.45,23.965448024049625,56.58150079765353
0.46,24.5320164291472,56.73223142200367
0.47000000000000003,25.10009298413817,56.883140061363974
0.48,25.669679465272694,57.034225669769874
0.49,26.24077763874642,57.185487204068366
0.5,26.813389260700465,57.33692362391794
0.51,27.387516077221434,57.48853389178864
0.52,27.96315982434141,57.64031697296204
0.53,28.540322228037965,57.792271835531224
0.54,29.119005004234133,57.94439745040083
0.55,29.699209858798447,58.096692791287005
0.56,30.280938487544915,58.249156834717446
0.5700000000000001,30.86419257623303,58.40178856003137
0.58,31.448973800567742,58.55458694937953
0.59,32.03528382619953,58.70755098772418
0.6,32.623124308724314,58.86067966283916
0.61,33.21249689368351,59.01397196530979
0.62,33.803403216564,59.16742688853295
0.63,34.39584490279816,59.321043428717026
0.64,34.98982356776386,59.474820584881954
0.65,35.585340816784424,59.6287573588592
0.66,36.182398245128674,59.782852755291735
0.67,36.78099743801091,59.937105781634095
0.68,37.3811399705909,60.09151544815232
0.6900000000000001,37.982827407973915,60.246080767924
0.7000000000000001,38.5860613052107,60.40080075683824
0.71,39.19084320729746,60.55567443359567
0.72,39.797174649175915,60.71070081970847
0.73,40.405057155733246,60.86587893950035
0.74,41.01449224180211,61.021207820106525
0.75,41.62548141216065,61.17668649147376
0.76,42.23802616153251,61.33231398636035
0.77,42.85212797458679,61.4880893403361
0.78,43.46778832593808,61.64401159178239
0.79,44.08500868014644,61.80007978189207
0.8,44.70379049171742,61.95629295466958
0.81,45.324135205102074,62.11265015693084
0.8200000000000001,45.94604425469688,62.26915043830334
0.8300000000000001,46.56951906484387,62.42579285122606
0.84,47.194561049830476,62.58257645094955
0.85,47.82117161388969,62.73950029553587
0.86,48.44935215119993,62.896563445858604
0.87,49.07910404588512,63.05376496560289
0.88,49.71042867201465,63.21110392126536
0.89,50.34332739360342,63.36857938215421
0.9,50.97780156461176,63.52619042038915
0.91,51.61385252894553,63.68393611090142
0.92,52.25148162045605,63.8418155314338
0.93,52.89069016294012,63.99982776254059
0.9400000000000001,53.53147947014001,64.15797188758762
0.9500000000000001,54.173850845743516,64.31624699275227
0.96,54.81780558338385,64.47465216702341
0.97,55.46334496663977,64.63318650220148
0.98,56.11047026903546,64.79184909289843
0.99,56.75918275404062,64.95063903653774
